iter	Passed	Remaining
982	10176	175
983	10186	165
984	10196	155
985	10204	144
986	10214	134
987	10222	124
988	10231	113
989	10240	103
990	10250	93
991	10259	82
992	10270	72
993	10279	62
994	10289	51
995	10298	41
996	10307	31
997	10316	20
998	10325	10
999	10334	0
